campus,edificio,nome,prese,tipologia,ethernet,categoria
MIB02,B2,B2.2.15 (EX CT.60.1),True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B2,B2.2.2 (EX CT.59),False,DISEGNO,False,AULA DIDATTICA
MIB02,B2,B2.2.3 (EX CT.58),False,DISEGNO,False,AULA DIDATTICA
MIB02,B2,B2.2.4 (EX CT.57),False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B2,B2.2.5 (EX CT.56.1),True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B2,B2.2.6 (EX CT.56),False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B2,B2.2.7 (EX CT.55),False,DISEGNO,False,AULA DIDATTICA
MIB02,B2,B2.2.8 (CT.54),False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B2,B2.2.9 (EX CT.53.1),True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B2,B2.3.1 (EX.67),False,DISEGNO,False,AULA DIDATTICA
MIB02,B2,B2.3.2 (EX CT.66),False,DISEGNO,False,AULA DIDATTICA
MIB02,B2,B2.3.3 (EX CT.65),False,DISEGNO,False,AULA DIDATTICA
MIB02,B2,B2.3.4 (EX CT.64),False,DISEGNO,False,AULA DIDATTICA
MIB02,B6,B6.2.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B6,B6.2.2,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B6,B6.2.3,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B6,B6.2.4,False,DISEGNO,False,AULA DIDATTICA
MIB02,B6,B6.2.5,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B6,B6.2.6,False,DISEGNO,False,AULA DIDATTICA
MIB02,B6,B6.2.7,True,INFORMATIZZATA,True,AULA DIDATTICA
MIB02,B6,B6.2.8,True,INFORMATIZZATA,True,AULA DIDATTICA
MIB02,B6,B6.3.1,False,DISEGNO,False,AULA DIDATTICA
MIB02,B6,B6.3.2,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B6,B6.3.3,False,DISEGNO,False,AULA DIDATTICA
MIB02,B6,B6.3.4,False,DISEGNO,False,AULA DIDATTICA
MIB02,B8,B8 0.1,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B8,B8 0.2,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B8,B8 0.3,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B8,B8 0.4,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B8,B8 0.5,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B8,B8 0.6,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B8,B8 0.7,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB02,B8,B8 1.1,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB02,B8,B8 1.2,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB02,B8,B8 2.1,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB02,B8,B8 2.2,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB02,B8,B8 2.3,False,DISEGNO,False,AULA DIDATTICA
MIB01,B12,L.01,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.02,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,B12,L.03,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.04,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.05,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.06,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,B12,L.07,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,B12,L.08,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.09,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.11,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.12,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.13,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.14,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B12,L.15,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B15,LM.1,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,B15,LM.3,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B15,LM.4,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B15,LM.5,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,B15,LM.6,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL27,ATRIO P.T. - ED. BL.27,False,ALTRO,False,SPAZIO ESPOSITIVO
MIB01,BL27,BL.27.05,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL27,BL.27.06,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL27,BL.27.07,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL27,BL.27.08,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL27,CORRIDOIO DX P.T. - ED. BL 27,False,PLATEA FRONTALE,False,SPAZIO ESPOSITIVO
MIB01,BL27,CORRIDOIO SX P.T. - ED. BL 27,False,PLATEA FRONTALE,False,SPAZIO ESPOSITIVO
MIB01,BL27,ATRIO 1° PIANO - ED. BL.27,False,PLATEA FRONTALE,False,SPAZIO ESPOSITIVO
MIB01,BL27,BL.27.01,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL27,BL.27.02,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL27,BL.27.03,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL27,BL.27.04,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL27,BL.27.11,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,BL27,BL.27.12,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,BL27,BL.27.13,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,BL27,BL.27.14,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,BL27,BL.27.15,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,BL27,BL.27.16,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,BL27,BL.27.17,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,BL27,BL.27.18,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIB01,BL27,CORRIDOIO DX 1° P. - ED. BL.27,False,PLATEA FRONTALE,False,SPAZIO ESPOSITIVO
MIB01,BL27,CORRIDOIO SX 1° P. - ED. BL.27,False,PLATEA FRONTALE,False,SPAZIO ESPOSITIVO
MIB01,BL28,AULA CARASSA E DADDA,False,PLATEA FRONTALE,False,AULA CONVEGNI
MIB01,BL28,BL.28.1.1,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL28,BL.28.1.2,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL28,BL.28.2.1,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIB01,BL28,BL.28.2.2,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,2,N.0.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,2,N.0.2,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,2,N.1.1,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA01,2,N.1.2,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA01,2,N.1.3,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,2,N.1.5,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,2,N.1.6,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,2,N.2.1,False,DISEGNO,False,AULA DIDATTICA
MIA01,2,N.2.2,False,DISEGNO,False,AULA DIDATTICA
MIA01,2,N.2.3,False,DISEGNO,False,AULA DIDATTICA
MIA01,2,N.2.4,True,DISEGNO,True,AULA DIDATTICA
MIA01,2,N.2.5,False,DISEGNO,False,AULA DIDATTICA
MIA01,3,S.0.2,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA01,3,S.0.4,True,DISEGNO,True,AULA DIDATTICA
MIA01,3,S.0.5,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA01,3,S.1.1,True,DISEGNO,True,AULA DIDATTICA
MIA01,3,S.1.2,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA01,3,S.1.3,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA01,3,S.1.4,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA01,3,S.1.5,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA01,3,S.1.6,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA01,3,S.1.7,True,DISEGNO,True,AULA DIDATTICA
MIA01,3,S.1.8,False,DISEGNO,False,AULA DIDATTICA
MIA01,3,S.1.9,False,DISEGNO,False,AULA DIDATTICA
MIA01,3,S.2.1,True,DISEGNO,True,AULA DIDATTICA
MIA01,3,S.2.2,True,DISEGNO,True,AULA DIDATTICA
MIA01,3,S.2.3,True,DISEGNO,True,AULA DIDATTICA
MIA01,3,S.2.4,True,DISEGNO,True,AULA DIDATTICA
MIA01,4,4.0.1 (EX  I.0.1),False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,4,4.0.2 (EX I.0.2),False,DISEGNO,False,AULA DIDATTICA
MIA01,5,5.0.1 (EX C.0.1),False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,5,5.02,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,5,5.03,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,5,5.1.1 (EX C.1.1),False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,6,C.I.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,7,C.E.3,True,DISEGNO,True,AULA DIDATTICA
MIA01,7,C.E.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,7,C.E.2,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,7,C.E.4,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,8,F.0.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,8,F.1.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,9,9.0.1 (EX C.G.1),False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,9,9.0.2 (EX C.G.2),False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,9,9.0.3,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA01,9,9.0.4,False,INFORMATIZZATA,False,AULA DIDATTICA
MIA01,9,9.1.2 (EX C.G.3),False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA03,20,EL.0,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA03,21,E.G.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA03,21,E.G.2,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA03,21,E.G.3,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA03,21,E.G.4,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA03,21,E.G.6,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA03,21,E.G.7,False,INFORMATIZZATA,False,AULA DIDATTICA
MIA03,21,E.G.8,False,INFORMATIZZATA,False,AULA DIDATTICA
MIA02,11,G.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,G.2,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,IV,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,11,A - ALDO ROSSI,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,11,B,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,11,C,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,11,D,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,11,E\F,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,III.A,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,III.B,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,11,III.C,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,III.D,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,J.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,O.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,Q.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,R.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,U.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,Y.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,11,Z.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,J.2,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,O.2.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,O.2,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,R.2,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,U.2,False,DISEGNO,False,AULA DIDATTICA
MIA02,11,Z.2,False,DISEGNO,False,AULA DIDATTICA
MIA02,13,T.0.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,14,B.2.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,14,B.2.2,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.2.3,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.2.4,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,14,B.3.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.3.2,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.3.3,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.3.4,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.4.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.4.2,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,14,B.4.3,True,DISEGNO,True,AULA DIDATTICA
MIA02,14,B.4.4,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.5.1,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.5.2,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,14,B.5.3,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,14,B.5.4,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,14,B.5.5,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,14,B.6.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA02,14,B.62/3,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.64/5,False,DISEGNO,False,AULA DIDATTICA
MIA02,14,B.6.6,False,DISEGNO,False,AULA DIDATTICA
MIA06,32.3,E.P.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA06,32.3,E.P.2,False,DISEGNO,False,AULA DIPARTIMENTALE
MIA06,32.3,E.P.3,False,DISEGNO,False,AULA DIDATTICA
MIA14,26,L.26.01,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA14,26,L.26.02,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA14,26,L.26.03,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA14,26,L.26.04,True,PLATEA FRONTALE,True,AULA DIDATTICA
MIA14,26,L.26.11,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA14,26,L.26.12,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA14,26,L.26.13,True,DISEGNO,True,AULA DIDATTICA
MIA14,26,L.26.14,True,DISEGNO,True,AULA DIDATTICA
MIA14,26,L.26.15,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA14,26,L.26.16,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,23,G.0.1,False,ALTRO,False,AULA DIPARTIMENTALE
MIA04,23,G.0.2,False,ALTRO,False,AULA DIPARTIMENTALE
MIA04,25,D.0.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.0.3,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.0.4,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.1.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.1.2,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.2.1,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.2.2,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.2.3,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.2.4,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.2.5,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.2.6,False,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.3.1,False,INFORMATIZZATA,False,AULA DIDATTICA
MIA04,25,D.3.2,True,PLATEA FRONTALE,False,AULA DIDATTICA
MIA04,25,D.3.3,True,PLATEA FRONTALE,False,AULA DIDATTICA
